scan,date,time,raw,calibrated
1,23/11/2022 , 14:10:00,3519,228.1
2,23/11/2022 , 14:20:00,2745,177.9
3,23/11/2022 , 14:30:00,3269,211.9
4,23/11/2022 , 14:40:00,5287,342.7
5,23/11/2022 , 14:50:00,8012,519.3
6,23/11/2022 , 15:00:00,2794,181.1
7,23/11/2022 , 15:10:00,3183,206.3
8,23/11/2022 , 15:20:00,3141,203.6
9,23/11/2022 , 15:30:00,2433,157.7
10,23/11/2022 , 15:40:00,2241,145.3
11,23/11/2022 , 15:50:00,3005,194.8
12,23/11/2022 , 16:00:00,3715,240.8
13,23/11/2022 , 16:10:00,3120,202.2
14,23/11/2022 , 16:20:00,2687,174.2
15,23/11/2022 , 16:30:00,3031,196.5
16,23/11/2022 , 16:40:00,2320,150.4
17,23/11/2022 , 16:50:00,1933,125.3
18,23/11/2022 , 17:00:00,1627,105.5
19,23/11/2022 , 17:10:00,1183,76.7
20,23/11/2022 , 17:20:00,837,54.3
21,23/11/2022 , 17:30:00,471,30.5
22,23/11/2022 , 17:40:00,256,16.6
23,23/11/2022 , 17:50:00,122,7.9
24,23/11/2022 , 18:00:00,36,2.3
25,23/11/2022 , 18:10:00,2,0.1
26,23/11/2022 , 18:20:00,0,0
27,23/11/2022 , 18:30:00,0,0
28,23/11/2022 , 18:40:00,0,0
29,23/11/2022 , 18:50:00,0,0
30,23/11/2022 , 19:00:00,0,0
31,23/11/2022 , 19:10:00,0,0
32,23/11/2022 , 19:20:00,0,0
33,23/11/2022 , 19:30:00,0,0
34,23/11/2022 , 19:40:00,0,0
35,23/11/2022 , 19:50:00,0,0
36,23/11/2022 , 20:00:00,0,0
37,23/11/2022 , 20:10:00,0,0
38,23/11/2022 , 20:20:00,0,0
39,23/11/2022 , 20:30:00,0,0
40,23/11/2022 , 20:40:00,0,0
41,23/11/2022 , 20:50:00,0,0
42,23/11/2022 , 21:00:00,0,0
43,23/11/2022 , 21:10:00,0,0
44,23/11/2022 , 21:20:00,0,0
45,23/11/2022 , 21:30:00,0,0
46,23/11/2022 , 21:40:00,0,0
47,23/11/2022 , 21:50:00,0,0
48,23/11/2022 , 22:00:00,0,0
49,23/11/2022 , 22:10:00,0,0
50,23/11/2022 , 22:20:00,0,0
51,23/11/2022 , 22:30:00,0,0
52,23/11/2022 , 22:40:00,0,0
53,23/11/2022 , 22:50:00,0,0
54,23/11/2022 , 23:00:00,0,0
55,23/11/2022 , 23:10:00,0,0
56,23/11/2022 , 23:20:00,0,0
57,23/11/2022 , 23:30:00,0,0
58,23/11/2022 , 23:40:00,0,0
59,23/11/2022 , 23:50:00,0,0
60,23/11/2022 , 24:00:00,0,0
61,24/11/2022 , 00:10:00,0,0
62,24/11/2022 , 00:20:00,0,0
63,24/11/2022 , 00:30:00,0,0
64,24/11/2022 , 00:40:00,0,0
65,24/11/2022 , 00:50:00,0,0
66,24/11/2022 , 01:00:00,0,0
67,24/11/2022 , 01:10:00,0,0
68,24/11/2022 , 01:20:00,0,0
69,24/11/2022 , 01:30:00,0,0
70,24/11/2022 , 01:40:00,0,0
71,24/11/2022 , 01:50:00,0,0
72,24/11/2022 , 02:00:00,0,0
73,24/11/2022 , 02:10:00,0,0
74,24/11/2022 , 02:20:00,0,0
75,24/11/2022 , 02:30:00,0,0
76,24/11/2022 , 02:40:00,0,0
77,24/11/2022 , 02:50:00,0,0
78,24/11/2022 , 03:00:00,0,0
79,24/11/2022 , 03:10:00,0,0
80,24/11/2022 , 03:20:00,0,0
81,24/11/2022 , 03:30:00,0,0
82,24/11/2022 , 03:40:00,0,0
83,24/11/2022 , 03:50:00,0,0
84,24/11/2022 , 04:00:00,0,0
85,24/11/2022 , 04:10:00,0,0
86,24/11/2022 , 04:20:00,0,0
87,24/11/2022 , 04:30:00,0,0
88,24/11/2022 , 04:40:00,0,0
89,24/11/2022 , 04:50:00,0,0
90,24/11/2022 , 05:00:00,0,0
91,24/11/2022 , 05:10:00,0,0
92,24/11/2022 , 05:20:00,0,0
93,24/11/2022 , 05:30:00,0,0
94,24/11/2022 , 05:40:00,0,0
95,24/11/2022 , 05:50:00,0,0
96,24/11/2022 , 06:00:00,0,0
97,24/11/2022 , 06:10:00,0,0
98,24/11/2022 , 06:20:00,0,0
99,24/11/2022 , 06:30:00,0,0
100,24/11/2022 , 06:40:00,1,0.1
101,24/11/2022 , 06:50:00,28,1.8
102,24/11/2022 , 07:00:00,97,6.3
103,24/11/2022 , 07:10:00,170,11
104,24/11/2022 , 07:20:00,586,38
105,24/11/2022 , 07:30:00,475,30.8
106,24/11/2022 , 07:40:00,641,41.5
107,24/11/2022 , 07:50:00,1110,72
108,24/11/2022 , 08:00:00,1023,66.3
109,24/11/2022 , 08:10:00,1271,82.4
110,24/11/2022 , 08:20:00,1607,104.2
111,24/11/2022 , 08:30:00,3395,220.1
112,24/11/2022 , 08:40:00,4168,270.2
113,24/11/2022 , 08:50:00,3423,221.9
114,24/11/2022 , 09:00:00,2057,133.3
115,24/11/2022 , 09:10:00,3203,207.6
116,24/11/2022 , 09:20:00,3364,218.1
117,24/11/2022 , 09:30:00,6599,427.7
118,24/11/2022 , 09:40:00,5921,383.8
119,24/11/2022 , 09:50:00,4045,262.2
120,24/11/2022 , 10:00:00,3710,240.5
121,24/11/2022 , 10:10:00,2728,176.8
122,24/11/2022 , 10:20:00,3927,254.5
123,24/11/2022 , 10:30:00,5429,351.9
124,24/11/2022 , 10:40:00,4509,292.3
125,24/11/2022 , 10:50:00,5058,327.9
126,24/11/2022 , 11:00:00,4567,296
127,24/11/2022 , 11:10:00,5032,326.2
128,24/11/2022 , 11:20:00,6511,422
129,24/11/2022 , 11:30:00,5131,332.6
130,24/11/2022 , 11:40:00,6437,417.2
131,24/11/2022 , 11:50:00,5443,352.8
132,24/11/2022 , 12:00:00,4432,287.3
133,24/11/2022 , 12:10:00,4801,311.2
134,24/11/2022 , 12:20:00,4668,302.6
135,24/11/2022 , 12:30:00,3781,245.1
136,24/11/2022 , 12:40:00,4947,320.7
137,24/11/2022 , 12:50:00,5264,341.2
138,24/11/2022 , 13:00:00,4437,287.6
139,24/11/2022 , 13:10:00,4457,288.9
140,24/11/2022 , 13:20:00,3646,236.3
141,24/11/2022 , 13:30:00,3890,252.2
142,24/11/2022 , 13:40:00,3959,256.6
143,24/11/2022 , 13:50:00,4059,263.1
144,24/11/2022 , 14:00:00,4069,263.8
145,24/11/2022 , 14:10:00,4179,270.9
146,24/11/2022 , 14:20:00,4212,273
147,24/11/2022 , 14:30:00,4185,271.3
148,24/11/2022 , 14:40:00,4142,268.5
149,24/11/2022 , 14:50:00,4425,286.8
150,24/11/2022 , 15:00:00,4103,266
151,24/11/2022 , 15:10:00,3852,249.7
152,24/11/2022 , 15:20:00,3051,197.8
153,24/11/2022 , 15:30:00,2862,185.5
154,24/11/2022 , 15:40:00,2218,143.8
155,24/11/2022 , 15:50:00,2582,167.4
156,24/11/2022 , 16:00:00,2478,160.6
157,24/11/2022 , 16:10:00,2271,147.2
158,24/11/2022 , 16:20:00,1905,123.5
159,24/11/2022 , 16:30:00,1773,114.9
160,24/11/2022 , 16:40:00,1513,98.1
161,24/11/2022 , 16:50:00,1279,82.9
162,24/11/2022 , 17:00:00,764,49.5
163,24/11/2022 , 17:10:00,726,47.1
164,24/11/2022 , 17:20:00,520,33.7
165,24/11/2022 , 17:30:00,407,26.4
166,24/11/2022 , 17:40:00,260,16.9
167,24/11/2022 , 17:50:00,129,8.4
168,24/11/2022 , 18:00:00,30,1.9
169,24/11/2022 , 18:10:00,2,0.1
170,24/11/2022 , 18:20:00,0,0
171,24/11/2022 , 18:30:00,0,0
172,24/11/2022 , 18:40:00,0,0
173,24/11/2022 , 18:50:00,0,0
174,24/11/2022 , 19:00:00,0,0
175,24/11/2022 , 19:10:00,0,0
176,24/11/2022 , 19:20:00,0,0
177,24/11/2022 , 19:30:00,0,0
178,24/11/2022 , 19:40:00,0,0
179,24/11/2022 , 19:50:00,0,0
180,24/11/2022 , 20:00:00,0,0
181,24/11/2022 , 20:10:00,0,0
182,24/11/2022 , 20:20:00,0,0
183,24/11/2022 , 20:30:00,0,0
184,24/11/2022 , 20:40:00,0,0
185,24/11/2022 , 20:50:00,0,0
186,24/11/2022 , 21:00:00,0,0
187,24/11/2022 , 21:10:00,0,0
188,24/11/2022 , 21:20:00,0,0
189,24/11/2022 , 21:30:00,0,0
190,24/11/2022 , 21:40:00,0,0
191,24/11/2022 , 21:50:00,0,0
192,24/11/2022 , 22:00:00,0,0
193,24/11/2022 , 22:10:00,0,0
194,24/11/2022 , 22:20:00,0,0
195,24/11/2022 , 22:30:00,0,0
196,24/11/2022 , 22:40:00,0,0
197,24/11/2022 , 22:50:00,0,0
198,24/11/2022 , 23:00:00,0,0
199,24/11/2022 , 23:10:00,0,0
200,24/11/2022 , 23:20:00,0,0
201,24/11/2022 , 23:30:00,0,0
202,24/11/2022 , 23:40:00,0,0
203,24/11/2022 , 23:50:00,0,0
204,24/11/2022 , 24:00:00,0,0
205,25/11/2022 , 00:10:00,0,0
206,25/11/2022 , 00:20:00,0,0
207,25/11/2022 , 00:30:00,0,0
208,25/11/2022 , 00:40:00,0,0
209,25/11/2022 , 00:50:00,0,0
210,25/11/2022 , 01:00:00,0,0
211,25/11/2022 , 01:10:00,0,0
212,25/11/2022 , 01:20:00,0,0
213,25/11/2022 , 01:30:00,0,0
214,25/11/2022 , 01:40:00,0,0
215,25/11/2022 , 01:50:00,0,0
216,25/11/2022 , 02:00:00,0,0
217,25/11/2022 , 02:10:00,0,0
218,25/11/2022 , 02:20:00,0,0
219,25/11/2022 , 02:30:00,0,0
220,25/11/2022 , 02:40:00,0,0
221,25/11/2022 , 02:50:00,0,0
222,25/11/2022 , 03:00:00,0,0
223,25/11/2022 , 03:10:00,0,0
224,25/11/2022 , 03:20:00,0,0
225,25/11/2022 , 03:30:00,0,0
226,25/11/2022 , 03:40:00,0,0
227,25/11/2022 , 03:50:00,0,0
228,25/11/2022 , 04:00:00,0,0
229,25/11/2022 , 04:10:00,0,0
230,25/11/2022 , 04:20:00,0,0
231,25/11/2022 , 04:30:00,0,0
232,25/11/2022 , 04:40:00,0,0
233,25/11/2022 , 04:50:00,0,0
234,25/11/2022 , 05:00:00,0,0
235,25/11/2022 , 05:10:00,0,0
236,25/11/2022 , 05:20:00,0,0
237,25/11/2022 , 05:30:00,0,0
238,25/11/2022 , 05:40:00,0,0
239,25/11/2022 , 05:50:00,0,0
240,25/11/2022 , 06:00:00,0,0
241,25/11/2022 , 06:10:00,0,0
242,25/11/2022 , 06:20:00,0,0
243,25/11/2022 , 06:30:00,0,0
244,25/11/2022 , 06:40:00,2,0.1
245,25/11/2022 , 06:50:00,25,1.6
246,25/11/2022 , 07:00:00,110,7.1
247,25/11/2022 , 07:10:00,265,17.2
248,25/11/2022 , 07:20:00,394,25.5
249,25/11/2022 , 07:30:00,552,35.8
250,25/11/2022 , 07:40:00,767,49.7
251,25/11/2022 , 07:50:00,1084,70.3
252,25/11/2022 , 08:00:00,949,61.5
253,25/11/2022 , 08:10:00,2051,132.9
254,25/11/2022 , 08:20:00,2642,171.3
255,25/11/2022 , 08:30:00,3486,226
256,25/11/2022 , 08:40:00,1713,111
257,25/11/2022 , 08:50:00,3314,214.8
258,25/11/2022 , 09:00:00,2596,168.3
259,25/11/2022 , 09:10:00,5156,334.2
260,25/11/2022 , 09:20:00,4886,316.7
261,25/11/2022 , 09:30:00,6178,400.5
262,25/11/2022 , 09:40:00,6988,453
263,25/11/2022 , 09:50:00,6425,416.5
264,25/11/2022 , 10:00:00,9516,616.8
265,25/11/2022 , 10:10:00,8510,551.6
266,25/11/2022 , 10:20:00,3043,197.2
267,25/11/2022 , 10:30:00,9554,619.3
268,25/11/2022 , 10:40:00,8502,551.1
269,25/11/2022 , 10:50:00,7364,477.3
270,25/11/2022 , 11:00:00,4651,301.5
271,25/11/2022 , 11:10:00,7461,483.6
272,25/11/2022 , 11:20:00,7962,516.1
273,25/11/2022 , 11:30:00,10401,674.2
274,25/11/2022 , 11:40:00,11232,728.1
275,25/11/2022 , 11:50:00,11984,776.8
276,25/11/2022 , 12:00:00,5868,380.4
277,25/11/2022 , 12:10:00,11595,751.6
278,25/11/2022 , 12:20:00,11457,742.6
279,25/11/2022 , 12:30:00,11355,736
280,25/11/2022 , 12:40:00,11640,754.5
281,25/11/2022 , 12:50:00,12034,780
282,25/11/2022 , 13:00:00,8475,549.4
283,25/11/2022 , 13:10:00,7280,471.9
284,25/11/2022 , 13:20:00,11878,769.9
285,25/11/2022 , 13:30:00,11771,763
286,25/11/2022 , 13:40:00,7152,463.6
287,25/11/2022 , 13:50:00,6832,442.9
288,25/11/2022 , 14:00:00,7363,477.3
289,25/11/2022 , 14:10:00,10526,682.3
290,25/11/2022 , 14:20:00,10313,668.5
291,25/11/2022 , 14:30:00,10092,654.2
292,25/11/2022 , 14:40:00,9310,603.5
293,25/11/2022 , 14:50:00,8423,546
294,25/11/2022 , 15:00:00,5834,378.2
295,25/11/2022 , 15:10:00,4026,261
296,25/11/2022 , 15:20:00,2222,144
297,25/11/2022 , 15:30:00,5749,372.7
298,25/11/2022 , 15:40:00,5148,333.7
299,25/11/2022 , 15:50:00,5450,353.3
300,25/11/2022 , 16:00:00,4230,274.2
301,25/11/2022 , 16:10:00,3842,249
302,25/11/2022 , 16:20:00,2422,157
303,25/11/2022 , 16:30:00,2684,174
304,25/11/2022 , 16:40:00,2124,137.7
305,25/11/2022 , 16:50:00,818,53
306,25/11/2022 , 17:00:00,902,58.5
307,25/11/2022 , 17:10:00,991,64.2
308,25/11/2022 , 17:20:00,583,37.8
309,25/11/2022 , 17:30:00,362,23.5
310,25/11/2022 , 17:40:00,184,11.9
311,25/11/2022 , 17:50:00,51,3.3
312,25/11/2022 , 18:00:00,16,1
313,25/11/2022 , 18:10:00,0,0
314,25/11/2022 , 18:20:00,0,0
315,25/11/2022 , 18:30:00,0,0
316,25/11/2022 , 18:40:00,0,0
317,25/11/2022 , 18:50:00,0,0
318,25/11/2022 , 19:00:00,0,0
319,25/11/2022 , 19:10:00,0,0
320,25/11/2022 , 19:20:00,0,0
321,25/11/2022 , 19:30:00,0,0
322,25/11/2022 , 19:40:00,0,0
323,25/11/2022 , 19:50:00,0,0
324,25/11/2022 , 20:00:00,0,0
325,25/11/2022 , 20:10:00,0,0
326,25/11/2022 , 20:20:00,0,0
327,25/11/2022 , 20:30:00,0,0
328,25/11/2022 , 20:40:00,0,0
329,25/11/2022 , 20:50:00,0,0
330,25/11/2022 , 21:00:00,0,0
331,25/11/2022 , 21:10:00,0,0
332,25/11/2022 , 21:20:00,0,0
333,25/11/2022 , 21:30:00,0,0
334,25/11/2022 , 21:40:00,0,0
335,25/11/2022 , 21:50:00,0,0
336,25/11/2022 , 22:00:00,0,0
337,25/11/2022 , 22:10:00,0,0
338,25/11/2022 , 22:20:00,0,0
339,25/11/2022 , 22:30:00,0,0
340,25/11/2022 , 22:40:00,0,0
341,25/11/2022 , 22:50:00,0,0
342,25/11/2022 , 23:00:00,0,0
343,25/11/2022 , 23:10:00,0,0
344,25/11/2022 , 23:20:00,0,0
345,25/11/2022 , 23:30:00,0,0
346,25/11/2022 , 23:40:00,0,0
347,25/11/2022 , 23:50:00,0,0
348,25/11/2022 , 24:00:00,0,0
349,26/11/2022 , 00:10:00,0,0
350,26/11/2022 , 00:20:00,0,0
351,26/11/2022 , 00:30:00,0,0
352,26/11/2022 , 00:40:00,0,0
353,26/11/2022 , 00:50:00,0,0
354,26/11/2022 , 01:00:00,0,0
355,26/11/2022 , 01:10:00,0,0
356,26/11/2022 , 01:20:00,0,0
357,26/11/2022 , 01:30:00,0,0
358,26/11/2022 , 01:40:00,0,0
359,26/11/2022 , 01:50:00,0,0
360,26/11/2022 , 02:00:00,0,0
361,26/11/2022 , 02:10:00,0,0
362,26/11/2022 , 02:20:00,0,0
363,26/11/2022 , 02:30:00,0,0
364,26/11/2022 , 02:40:00,0,0
365,26/11/2022 , 02:50:00,0,0
366,26/11/2022 , 03:00:00,0,0
367,26/11/2022 , 03:10:00,0,0
368,26/11/2022 , 03:20:00,0,0
369,26/11/2022 , 03:30:00,0,0
370,26/11/2022 , 03:40:00,0,0
371,26/11/2022 , 03:50:00,0,0
372,26/11/2022 , 04:00:00,0,0
373,26/11/2022 , 04:10:00,0,0
374,26/11/2022 , 04:20:00,0,0
375,26/11/2022 , 04:30:00,0,0
376,26/11/2022 , 04:40:00,0,0
377,26/11/2022 , 04:50:00,0,0
378,26/11/2022 , 05:00:00,0,0
379,26/11/2022 , 05:10:00,0,0
380,26/11/2022 , 05:20:00,0,0
381,26/11/2022 , 05:30:00,0,0
382,26/11/2022 , 05:40:00,0,0
383,26/11/2022 , 05:50:00,0,0
384,26/11/2022 , 06:00:00,0,0
385,26/11/2022 , 06:10:00,0,0
386,26/11/2022 , 06:20:00,0,0
387,26/11/2022 , 06:30:00,0,0
388,26/11/2022 , 06:40:00,1,0.1
389,26/11/2022 , 06:50:00,19,1.2
390,26/11/2022 , 07:00:00,77,5
391,26/11/2022 , 07:10:00,190,12.3
392,26/11/2022 , 07:20:00,274,17.8
393,26/11/2022 , 07:30:00,404,26.2
394,26/11/2022 , 07:40:00,522,33.8
395,26/11/2022 , 07:50:00,469,30.4
396,26/11/2022 , 08:00:00,671,43.5
397,26/11/2022 , 08:10:00,873,56.6
398,26/11/2022 , 08:20:00,838,54.3
399,26/11/2022 , 08:30:00,844,54.7
400,26/11/2022 , 08:40:00,1881,121.9
401,26/11/2022 , 08:50:00,2421,156.9
402,26/11/2022 , 09:00:00,1956,126.8
403,26/11/2022 , 09:10:00,1527,99
404,26/11/2022 , 09:20:00,1720,111.5
405,26/11/2022 , 09:30:00,2065,133.9
406,26/11/2022 , 09:40:00,1836,119
407,26/11/2022 , 09:50:00,2192,142.1
408,26/11/2022 , 10:00:00,2191,142
409,26/11/2022 , 10:10:00,2100,136.1
410,26/11/2022 , 10:20:00,2219,143.8
411,26/11/2022 , 10:30:00,3000,194.5
412,26/11/2022 , 10:40:00,4675,303
413,26/11/2022 , 10:50:00,6533,423.5
414,26/11/2022 , 11:00:00,3737,242.2
415,26/11/2022 , 11:10:00,3357,217.6
416,26/11/2022 , 11:20:00,3531,228.9
417,26/11/2022 , 11:30:00,3397,220.2
418,26/11/2022 , 11:40:00,3390,219.7
419,26/11/2022 , 11:50:00,3863,250.4
420,26/11/2022 , 12:00:00,3271,212
421,26/11/2022 , 12:10:00,2949,191.2
422,26/11/2022 , 12:20:00,2836,183.8
423,26/11/2022 , 12:30:00,3011,195.2
424,26/11/2022 , 12:40:00,3075,199.3
425,26/11/2022 , 12:50:00,2531,164.1
426,26/11/2022 , 13:00:00,3075,199.3
427,26/11/2022 , 13:10:00,3131,203
428,26/11/2022 , 13:20:00,2756,178.6
429,26/11/2022 , 13:30:00,2586,167.6
430,26/11/2022 , 13:40:00,3432,222.5
431,26/11/2022 , 13:50:00,3648,236.5
432,26/11/2022 , 14:00:00,4162,269.8
433,26/11/2022 , 14:10:00,4092,265.2
434,26/11/2022 , 14:20:00,4050,262.5
435,26/11/2022 , 14:30:00,3928,254.6
436,26/11/2022 , 14:40:00,3065,198.7
437,26/11/2022 , 14:50:00,3235,209.7
438,26/11/2022 , 15:00:00,2577,167
439,26/11/2022 , 15:10:00,2500,162.1
440,26/11/2022 , 15:20:00,1908,123.7
441,26/11/2022 , 15:30:00,1854,120.2
442,26/11/2022 , 15:40:00,1785,115.7
443,26/11/2022 , 15:50:00,1582,102.5
444,26/11/2022 , 16:00:00,1911,123.9
445,26/11/2022 , 16:10:00,1717,111.3
446,26/11/2022 , 16:20:00,1314,85.2
447,26/11/2022 , 16:30:00,1185,76.8
448,26/11/2022 , 16:40:00,1144,74.2
449,26/11/2022 , 16:50:00,917,59.4
450,26/11/2022 , 17:00:00,610,39.5
451,26/11/2022 , 17:10:00,340,22
452,26/11/2022 , 17:20:00,280,18.1
453,26/11/2022 , 17:30:00,188,12.2
454,26/11/2022 , 17:40:00,86,5.6
455,26/11/2022 , 17:50:00,31,2
456,26/11/2022 , 18:00:00,6,0.4
457,26/11/2022 , 18:10:00,0,0
458,26/11/2022 , 18:20:00,0,0
459,26/11/2022 , 18:30:00,0,0
460,26/11/2022 , 18:40:00,0,0
461,26/11/2022 , 18:50:00,0,0
462,26/11/2022 , 19:00:00,0,0
463,26/11/2022 , 19:10:00,0,0
464,26/11/2022 , 19:20:00,0,0
465,26/11/2022 , 19:30:00,0,0
466,26/11/2022 , 19:40:00,0,0
467,26/11/2022 , 19:50:00,0,0
468,26/11/2022 , 20:00:00,0,0
469,26/11/2022 , 20:10:00,0,0
470,26/11/2022 , 20:20:00,0,0
471,26/11/2022 , 20:30:00,0,0
472,26/11/2022 , 20:40:00,0,0
473,26/11/2022 , 20:50:00,0,0
474,26/11/2022 , 21:00:00,0,0
475,26/11/2022 , 21:10:00,0,0
476,26/11/2022 , 21:20:00,0,0
477,26/11/2022 , 21:30:00,0,0
478,26/11/2022 , 21:40:00,0,0
479,26/11/2022 , 21:50:00,0,0
480,26/11/2022 , 22:00:00,0,0
481,26/11/2022 , 22:10:00,0,0
482,26/11/2022 , 22:20:00,0,0
483,26/11/2022 , 22:30:00,0,0
484,26/11/2022 , 22:40:00,0,0
485,26/11/2022 , 22:50:00,0,0
486,26/11/2022 , 23:00:00,0,0
487,26/11/2022 , 23:10:00,0,0
488,26/11/2022 , 23:20:00,0,0
489,26/11/2022 , 23:30:00,0,0
490,26/11/2022 , 23:40:00,0,0
491,26/11/2022 , 23:50:00,0,0
492,26/11/2022 , 24:00:00,0,0
493,27/11/2022 , 00:10:00,0,0
494,27/11/2022 , 00:20:00,0,0
495,27/11/2022 , 00:30:00,0,0
496,27/11/2022 , 00:40:00,0,0
497,27/11/2022 , 00:50:00,0,0
498,27/11/2022 , 01:00:00,0,0
499,27/11/2022 , 01:10:00,0,0
500,27/11/2022 , 01:20:00,0,0
501,27/11/2022 , 01:30:00,0,0
502,27/11/2022 , 01:40:00,0,0
503,27/11/2022 , 01:50:00,0,0
504,27/11/2022 , 02:00:00,0,0
505,27/11/2022 , 02:10:00,0,0
506,27/11/2022 , 02:20:00,0,0
507,27/11/2022 , 02:30:00,0,0
508,27/11/2022 , 02:40:00,0,0
509,27/11/2022 , 02:50:00,0,0
510,27/11/2022 , 03:00:00,0,0
511,27/11/2022 , 03:10:00,0,0
512,27/11/2022 , 03:20:00,0,0
513,27/11/2022 , 03:30:00,0,0
514,27/11/2022 , 03:40:00,0,0
515,27/11/2022 , 03:50:00,0,0
516,27/11/2022 , 04:00:00,0,0
517,27/11/2022 , 04:10:00,0,0
518,27/11/2022 , 04:20:00,0,0
519,27/11/2022 , 04:30:00,0,0
520,27/11/2022 , 04:40:00,0,0
521,27/11/2022 , 04:50:00,0,0
522,27/11/2022 , 05:00:00,0,0
523,27/11/2022 , 05:10:00,0,0
524,27/11/2022 , 05:20:00,0,0
525,27/11/2022 , 05:30:00,0,0
526,27/11/2022 , 05:40:00,0,0
527,27/11/2022 , 05:50:00,0,0
528,27/11/2022 , 06:00:00,0,0
529,27/11/2022 , 06:10:00,0,0
530,27/11/2022 , 06:20:00,0,0
531,27/11/2022 , 06:30:00,0,0
532,27/11/2022 , 06:40:00,0,0
533,27/11/2022 , 06:50:00,11,0.7
534,27/11/2022 , 07:00:00,53,3.4
535,27/11/2022 , 07:10:00,154,10
536,27/11/2022 , 07:20:00,251,16.3
537,27/11/2022 , 07:30:00,355,23
538,27/11/2022 , 07:40:00,485,31.4
539,27/11/2022 , 07:50:00,744,48.2
540,27/11/2022 , 08:00:00,721,46.7
541,27/11/2022 , 08:10:00,828,53.7
542,27/11/2022 , 08:20:00,1271,82.4
543,27/11/2022 , 08:30:00,2012,130.4
544,27/11/2022 , 08:40:00,2292,148.6
545,27/11/2022 , 08:50:00,1483,96.1
546,27/11/2022 , 09:00:00,2611,169.2
547,27/11/2022 , 09:10:00,3114,201.8
548,27/11/2022 , 09:20:00,3094,200.6
549,27/11/2022 , 09:30:00,2259,146.4
